epoch,acc,loss,val_acc,val_loss
0,0.09250000156462193,2.3098389148712157,0.11000000387430191,2.311403179168701
1,0.10500000230967999,2.298011362552643,0.08000000193715096,2.3059205055236816
2,0.12000000178813934,2.2986965417861938,0.0800000011920929,2.3125149250030517
3,0.0875000024214387,2.3007061004638674,0.11000000312924385,2.3069339752197267
4,0.10750000290572644,2.288397991657257,0.07000000178813934,2.311387300491333
5,0.1200000025331974,2.2938969254493715,0.12000000327825547,2.314054536819458
6,0.13000000212341548,2.2900179862976073,0.10000000298023223,2.3156306743621826
7,0.12000000160187482,2.294564700126648,0.09000000059604644,2.3094225883483888
8,0.12500000316649676,2.284787130355835,0.0800000011920929,2.308343935012817
9,0.11750000342726707,2.2849285125732424,0.0800000011920929,2.3157042026519776
